,Unnamed: 0,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in,asin,asin_url
362,339,Running Lean: Iterate from Plan A to a Plan That Works,Ash Maurya,4.7 out of 5,60 ratings,$21.99,Na,Business Development & Entrepreneurship,"Publisher : O'Reilly Media; 3rd edition (May 3, 2022)
Language : English
Hardcover : 367 pages
ISBN-10 : 1098108779
ISBN-13 : 978-1098108779
Item Weight : 1.4 pounds
Dimensions : 6.3 x 1 x 9 inches",Na,Na,Na,Na,1098108779,https://www.amazon.com/dp/1098108779/
363,340,Patterns of Enterprise Application Architecture,Martin Fowler,4.5 out of 5,653 ratings,$60.99,$38.46,Hardware & DIY,"Publisher : Addison-Wesley Professional; 1st edition (November 5, 2002)
Language : English
Hardcover : 560 pages
ISBN-10 : 0321127420
ISBN-13 : 978-0321127426
Item Weight : 2.44 pounds
Dimensions : 7.7 x 1.6 x 9.4 inches",,Na,Na,Na,0321127420,https://www.amazon.com/dp/0321127420/
364,341,Fanuc CNC Custom Macros (Volume 1),Peter Smid,4.4 out of 5,128 ratings,$79.95,Na,Engineering,"Publisher : Industrial Press, Inc.; Har/Cdr edition (January 11, 2004)
Language : English
Hardcover : 336 pages
ISBN-10 : 0831131578
ISBN-13 : 978-0831131579
Item Weight : 1.82 pounds
Dimensions : 8 x 0.75 x 10.2 inches",Na,Na,Na,Na,0831131578,https://www.amazon.com/dp/0831131578/
365,342,"Introduction to Computation and Programming Using Python, third edition: With Application to Computational Modeling and Understanding Data",John V. Guttag,4.6 out of 5,128 ratings,$55.00,$22.15,Programming,"ASIN : 0262542366
Publisher : The MIT Press; 3rd edition (January 5, 2021)
Language : English
Paperback : 496 pages
ISBN-10 : 0262045788
ISBN-13 : 978-0262542364
Item Weight : 2.2 pounds
Dimensions : 7 x 1.32 x 9.06 inches",,Na,Na,Na,0262542366,https://www.amazon.com/dp/0262542366/
366,343,SketchUp For Dummies,Mark Harrison,4.4 out of 5,175 ratings,$26.49,Na,Engineering,"Publisher : For Dummies; 2nd edition (September 1, 2020)
Language : English
Paperback : 480 pages
ISBN-10 : 1119617936
ISBN-13 : 978-1119617938
Reading age : 1 year and up
Item Weight : 2.15 pounds
Dimensions : 7.4 x 0.9 x 9.1 inches",Na,#1 Best Seller,in 3D Graphic Design,Na,1119617936,https://www.amazon.com/dp/1119617936/
367,344,Murach's MySQL (3rd Edition),Joel Murach,4.6 out of 5,403 ratings,$57.50,$28.75,Databases & Big Data,"Publisher : Mike Murach & Associates; 3rd edition (March 22, 2019)
Language : English
Paperback : 628 pages
ISBN-10 : 1943872368
ISBN-13 : 978-1943872367
Item Weight : 2.75 pounds
Dimensions : 7.9 x 1.5 x 9.8 inches",,Na,Na,Na,1943872368,https://www.amazon.com/dp/1943872368/
368,345,A Practical Guide to SysML: The Systems Modeling Language (The MK/OMG Press),Alan Moore,4.6 out of 5,126 ratings,$44.96,$31.74,Programming,"Publisher : Morgan Kaufmann; 3rd edition (November 7, 2014)
Language : English
Paperback : 630 pages
ISBN-10 : 0128002026
ISBN-13 : 978-0128002025
Item Weight : 2.43 pounds
Dimensions : 7.5 x 1.42 x 9.25 inches",,Na,Na,Na,0128002026,https://www.amazon.com/dp/0128002026/
369,346,React Key Concepts: Consolidate your knowledge of React's core features,Maximilian Schwarzmuller,4.8 out of 5,20 ratings,$40.49,Na,Web Development & Design,"Publisher : Packt Publishing (December 26, 2022)
Language : English
Paperback : 590 pages
ISBN-10 : 1803234504
ISBN-13 : 978-1803234502
Item Weight : 2.21 pounds
Dimensions : 7.5 x 1.33 x 9.25 inches",Na,Na,Na,Na,1803234504,https://www.amazon.com/dp/1803234504/
370,347,The Art of Statistics: How to Learn from Data,David Spiegelhalter,4.6 out of 5,"2,987 ratings",$17.99,Na,Mathematics,"Publisher : Basic Books (August 17, 2021)
Language : English
Paperback : 448 pages
ISBN-10 : 1541675703
ISBN-13 : 978-1541675704
Item Weight : 13.3 ounces
Dimensions : 5.5 x 1.25 x 8.5 inches",Na,Na,Na,Na,1541675703,https://www.amazon.com/dp/1541675703/
371,348,"Effective Data Storytelling: How to Drive Change with Data, Narrative and Visuals",Brent Dykes,4.6 out of 5,227 ratings,$38.36,Na,Skills,"Publisher : Wiley; 1st edition (December 17, 2019)
Language : English
Hardcover : 336 pages
ISBN-10 : 1119615712
ISBN-13 : 978-1119615712
Item Weight : 1.5 pounds
Dimensions : 5.9 x 1.1 x 9.1 inches",Na,Na,Na,Na,1119615712,https://www.amazon.com/dp/1119615712/
