,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
37,Introduction to Classical and Quantum Computing,Dr Thomas G Wong,4.8 out of 5,73 ratings,$14.24,Na,Physics,"ASIN : B09QP2ML3P
Publisher : Rooted Grove (January 21, 2022)
Language : English
Paperback : 400 pages
ISBN-13 : 979-8985593105
Item Weight : 1.3 pounds
Dimensions : 6 x 0.91 x 9 inches",Na,Na,Na,Na
38,Murach's HTML and CSS (5th Edition),Anne Boehm,4.7 out of 5,42 ratings,$59.50,Na,Web Development & Design,"Publisher : Mike Murach & Associates; 5th edition (December 14, 2021)
Language : English
Paperback : 602 pages
ISBN-10 : 1943872864
ISBN-13 : 978-1943872862
Item Weight : 3 pounds
Dimensions : 8 x 1.6 x 9.9 inches",Na,Na,Na,Na
39,CompTIA CASP+ CAS-004 Certification Guide: Develop CASP+ skills and learn all the key topics needed to prepare for the certification exam,Mark Birch,4.7 out of 5,75 ratings,$39.89,Na,Certification,"Publisher : Packt Publishing (March 3, 2022)
Language : English
Paperback : 654 pages
ISBN-10 : 1801816778
ISBN-13 : 978-1801816779
Item Weight : 2.44 pounds
Dimensions : 7.5 x 1.48 x 9.25 inches",Na,Na,Na,Na
40,"Game Engine Architecture, Third Edition",Jason Gregory,4.5 out of 5,241 ratings,$104.06,$59.00,Games & Strategy Guides,"Publisher : A K Peters/CRC Press; 3rd edition (August 17, 2018)
Language : English
Hardcover : 1240 pages
ISBN-10 : 1138035459
ISBN-13 : 978-1138035454
Item Weight : 5.91 pounds
Dimensions : 7.9 x 2.6 x 9.3 inches",,Na,Na,Na
41,Machining For Dummies (For Dummies (Computer/Tech)),Kip Hanson,4.3 out of 5,224 ratings,$34.72,Na,Home Improvement & Design,"Publisher : For Dummies; 1st edition (October 23, 2017)
Language : English
Paperback : 320 pages
ISBN-10 : 1119426138
ISBN-13 : 978-1119426134
Item Weight : 1.35 pounds
Dimensions : 7.3 x 0.9 x 9 inches",Na,Na,Na,Na
42,Kubernetes: Up and Running: Dive into the Future of Infrastructure,Brendan Burns,4.3 out of 5,20 ratings,$51.99,$26.01,Programming,"Publisher : O'Reilly Media; 3rd edition (September 6, 2022)
Language : English
Paperback : 326 pages
ISBN-10 : 109811020X
ISBN-13 : 978-1098110208
Item Weight : 1.19 pounds
Dimensions : 7 x 0.75 x 9.25 inches",,Na,Na,Na
43,"Python Programming: An Introduction to Computer Science, 3rd Ed.",John Zelle,4.6 out of 5,389 ratings,$45.00,$23.16,Programming,"Publisher : Franklin, Beedle & Associates; 3rd edition (August 8, 2016)
Language : English
Paperback : 552 pages
ISBN-10 : 1590282752
ISBN-13 : 978-1590282755
Item Weight : 2.05 pounds
Dimensions : 7.5 x 1 x 9.2 inches",,Na,Na,Na
44,Tableau For Dummies (For Dummies (Computer/tech)),Molly Monsey,4.3 out of 5,339 ratings,$17.59,Na,Marketing & Sales,"Publisher : For Dummies; 1st edition (November 2, 2015)
Language : English
Paperback : 288 pages
ISBN-10 : 111913479X
ISBN-13 : 978-1119134794
Item Weight : 1.24 pounds
Dimensions : 7.3 x 0.7 x 9.2 inches",Na,Na,Na,Na
45,"Learn C++ Quickly: A Complete Beginner’s Guide to Learning C++, Even If You’re New to Programming (Crash Course With Hands-On Project)",Code Quickly,4.4 out of 5,375 ratings,$17.99,Na,Programming,"Publisher : Drip Digital (July 29, 2020)
Language : English
Paperback : 227 pages
ISBN-10 : 1951791622
ISBN-13 : 978-1951791629
Item Weight : 1.2 pounds
Dimensions : 8.5 x 0.52 x 11 inches",Na,Na,Na,Book 3 of 5: Crash Course With Hands-On Project
46,CompTIA A+ Certification All-in-One For Dummies (For Dummies (Computer/Tech)),Edward Tetz,4.6 out of 5,752 ratings,$44.99,Na,Certification,"Publisher : For Dummies; 5th edition (September 18, 2019)
Language : English
Paperback : 1360 pages
ISBN-10 : 1119581060
ISBN-13 : 978-1119581062
Item Weight : 3.9 pounds
Dimensions : 7.4 x 1.8 x 9.3 inches",,Na,Na,Na
47,"Blueprints Visual Scripting for Unreal Engine 5: Unleash the true power of Blueprints to create impressive games and applications in UE5, 3rd Edition",Marcos Romero,4.3 out of 5,44 ratings,$54.99,Na,Programming Languages,"Publisher : Packt Publishing; 3rd ed. edition (May 2, 2022)
Language : English
Paperback : 568 pages
ISBN-10 : 180181158X
ISBN-13 : 978-1801811583
Item Weight : 2.12 pounds
Dimensions : 7.5 x 1.34 x 9.25 inches",Na,Na,Na,Na
48,The Hardware Hacking Handbook: Breaking Embedded Security with Hardware Attacks,Jasper van Woudenberg,4.7 out of 5,110 ratings,$33.99,Na,Hardware & DIY,"Publisher : No Starch Press (December 21, 2021)
Language : English
Paperback : 512 pages
ISBN-10 : 1593278748
ISBN-13 : 978-1593278748
Item Weight : 1.75 pounds
Dimensions : 7.13 x 1.15 x 9.25 inches",Na,Na,Na,Na
49,Effective C++: 55 Specific Ways to Improve Your Programs and Designs,Scott Meyers,4.6 out of 5,474 ratings,$50.99,Na,Programming Languages,"Publisher : Addison-Wesley Professional; 3rd edition (May 12, 2005)
Language : English
Paperback : 320 pages
ISBN-10 : 0321334876
ISBN-13 : 978-0321334879
Item Weight : 1.23 pounds
Dimensions : 7.35 x 1 x 9.25 inches",,Na,Na,Na
50,CompTIA CySA+ Certification Kit: Exam CS0-002,David Seidl,4.6 out of 5,79 ratings,$57.57,Na,Certification,"Publisher : Sybex; 1st edition (October 1, 2020)
Language : English
Paperback : 1232 pages
ISBN-10 : 1119793998
ISBN-13 : 978-1119793991
Item Weight : 4.34 pounds
Dimensions : 7.3 x 2.7 x 9.2 inches",Na,Na,Na,Na
51,UX Strategy: Product Strategy Techniques for Devising Innovative Digital Solutions,Jaime Levy,4.6 out of 5,129 ratings,$21.99,Na,Decorative Arts & Design,"Publisher : O'Reilly Media; 2nd edition (April 6, 2021)
Language : English
Paperback : 304 pages
ISBN-10 : 1492052434
ISBN-13 : 978-1492052432
Item Weight : 13.6 ounces
Dimensions : 6 x 0.75 x 9 inches",Na,Na,Na,Na
52,Building Websites All-in-One For Dummies,David Karlins,4.3 out of 5,422 ratings,$22.49,Na,Graphics & Design,"Publisher : For Dummies; 3rd edition (August 14, 2012)
Language : English
Paperback : 816 pages
ISBN-10 : 1118270037
ISBN-13 : 978-1118270035
Item Weight : 2.3 pounds
Dimensions : 7.4 x 2.2 x 9.2 inches",,#1 Best Seller,in Adobe Dreamweaver Web Design,Na
53,"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",Harry Percival,4.6 out of 5,409 ratings,$45.49,Na,Programming,"Publisher : O'Reilly Media; 1st edition (March 31, 2020)
Language : English
Paperback : 304 pages
ISBN-10 : 1492052205
ISBN-13 : 978-1492052203
Item Weight : 1.07 pounds
Dimensions : 6.75 x 0.5 x 9 inches",Na,Na,Na,Na
54,Python Scripting for ArcGIS Pro,Paul A. Zandbergen,4.5 out of 5,145 ratings,$50.99,Na,Programming,"Publisher : Esri Press; 2nd edition (July 7, 2020)
Language : English
Paperback : 412 pages
ISBN-10 : 1589484991
ISBN-13 : 978-1589484993
Item Weight : 2.85 pounds
Dimensions : 8 x 1 x 9.75 inches",Na,Na,Na,Na
55,Theory of Fun for Game Design,Raph Koster,4.4 out of 5,433 ratings,$25.49,Na,Mathematics,"Publisher : O'Reilly Media; Second edition (December 17, 2013)
Language : English
Paperback : 300 pages
ISBN-10 : 1449363210
ISBN-13 : 978-1449363215
Item Weight : 1.2 pounds
Dimensions : 7.5 x 0.55 x 9.25 inches",Na,Na,Na,Na
56,Guide to Competitive Programming: Learning and Improving Algorithms Through Contests (Undergraduate Topics in Computer Science),Antti Laaksonen,4.7 out of 5,79 ratings,$40.47,Na,Programming,"Publisher : Springer; 2nd ed. 2020 edition (May 9, 2020)
Language : English
Paperback : 328 pages
ISBN-10 : 3030393569
ISBN-13 : 978-3030393564
Item Weight : 1.11 pounds
Dimensions : 6.1 x 0.77 x 9.25 inches",Na,Na,Na,Part of: Undergraduate Topics in Computer Science (97 books)
57,Head First C#: A Learner's Guide to Real-World Programming with C# and .NET Core,Andrew Stellman,4.6 out of 5,280 ratings,$35.99,$18.00,Programming,"Publisher : O'Reilly Media; 4th edition (January 20, 2021)
Language : English
Paperback : 800 pages
ISBN-10 : 1491976705
ISBN-13 : 978-1491976708
Item Weight : 3.18 pounds
Dimensions : 8 x 1.75 x 9.25 inches",,Na,Na,Na
58,"Exam Ref AZ-104 Microsoft Azure Administrator Certification and Beyond: A pragmatic guide to achieving the Azure administration certification, 2nd Edition",Riaan Lowe,4.3 out of 5,16 ratings,$59.99,Na,Networking & Cloud Computing,"Publisher : Packt Publishing; 2nd ed. edition (July 22, 2022)
Language : English
Paperback : 776 pages
ISBN-10 : 1801819548
ISBN-13 : 978-1801819541
Item Weight : 2.89 pounds
Dimensions : 7.5 x 1.75 x 9.25 inches",Na,Na,Na,Na
59,"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play",David Foster,4.5 out of 5,196 ratings,$46.99,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (July 23, 2019)
Language : English
Paperback : 330 pages
ISBN-10 : 1492041947
ISBN-13 : 978-1492041948
Item Weight : 1.15 pounds
Dimensions : 7.01 x 0.69 x 9.17 inches",Na,Na,Na,Na
60,Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,Barr Moses,4.4 out of 5,15 ratings,$56.08,Na,Networking & Cloud Computing,"Publisher : O'Reilly Media; 1st edition (October 11, 2022)
Language : English
Paperback : 308 pages
ISBN-10 : 1098112040
ISBN-13 : 978-1098112042
Item Weight : 1.15 pounds
Dimensions : 7 x 0.75 x 9 inches",Na,Na,Na,Na
61,Python Distilled (Developer's Library),David Beazley,4.6 out of 5,135 ratings,$49.99,$25.01,Operating Systems,"Publisher : Pearson; 1st edition (September 22, 2021)
Language : English
Paperback : 352 pages
ISBN-10 : 0134173279
ISBN-13 : 978-0134173276
Item Weight : 1.28 pounds
Dimensions : 6.9 x 0.8 x 9 inches",,Na,Na,Part of: Developer's Library (71 books)
62,Cyber Defense Matrix: The Essential Guide to Navigating the Cybersecurity Landscape,Sounil Yu,4.5 out of 5,55 ratings,$25.00,Na,Security & Encryption,"ASIN : B09QP2GSGZ
Publisher : Independently published (January 20, 2022)
Language : English
Paperback : 151 pages
ISBN-13 : 979-8404393774
Item Weight : 8.4 ounces
Dimensions : 6 x 0.35 x 9 inches",,Na,Na,Na
63,"Microsoft Power BI Cookbook: Gain expertise in Power BI with over 90 hands-on recipes, tips, and use cases, 2nd Edition",Greg Deckler,4.6 out of 5,60 ratings,$51.99,Na,Software,"Publisher : Packt Publishing; 2nd ed. edition (September 30, 2021)
Language : English
Paperback : 656 pages
ISBN-10 : 1801813043
ISBN-13 : 978-1801813044
Item Weight : 2.45 pounds
Dimensions : 7.5 x 1.48 x 9.25 inches",Na,Na,Na,Na
64,"The TCP/IP Guide: A Comprehensive, Illustrated Internet Protocols Reference",Charles M. Kozierok,4.8 out of 5,237 ratings,$86.15,Na,Networking & Cloud Computing,"Publisher : No Starch Press; 1st edition (October 1, 2005)
Language : English
Hardcover : 1616 pages
ISBN-10 : 159327047X
ISBN-13 : 978-1593270476
Item Weight : 5.2 pounds
Dimensions : 7.37 x 2.63 x 9.56 inches",,Na,Na,Na
65,Linux+ and LPIC-1 Guide to Linux Certification (MindTap Course List),Jason Eckert,4.4 out of 5,160 ratings,$163.15,$36.77,Operating Systems,"Publisher : Cengage Learning; 5th edition (April 16, 2019)
Language : English
Paperback : 768 pages
ISBN-10 : 1337569798
ISBN-13 : 978-1337569798
Item Weight : 3.2 pounds
Dimensions : 7.5 x 1.5 x 9 inches",,Na,Na,Na
66,100 Go Mistakes and How to Avoid Them,Teiva Harsanyi,4.8 out of 5,28 ratings,$50.13,Na,Programming,"Publisher : Manning (October 4, 2022)
Language : English
Paperback : 384 pages
ISBN-10 : 1617299596
ISBN-13 : 978-1617299599
Item Weight : 1.54 pounds
Dimensions : 7.38 x 0.8 x 9.25 inches",Na,Na,Na,Na
67,"Gift of Fire, A: Social, Legal, and Ethical Issues for Computing Technology",Sara Baase,4.5 out of 5,209 ratings,$139.99,$18.49,History & Culture,"ASIN : 0134615271
Publisher : Pearson; 5th edition (February 27, 2017)
Language : English
Paperback : 560 pages
ISBN-10 : 9780134615271
ISBN-13 : 978-0134615271
Item Weight : 1.55 pounds
Dimensions : 9.1 x 6.9 x 0.7 inches",,Na,Na,Na
68,Windows 11 All-in-One For Dummies (For Dummies (Computer/Tech)),Ciprian Adrian Rusen,4.5 out of 5,70 ratings,$33.99,Na,Operating Systems,"Publisher : For Dummies; 1st edition (March 22, 2022)
Language : English
Paperback : 896 pages
ISBN-10 : 1119858690
ISBN-13 : 978-1119858690
Item Weight : 3.15 pounds
Dimensions : 7.3 x 1.7 x 9 inches",Na,Na,Na,Na
69,Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,4.6 out of 5,632 ratings,$64.26,Na,Programming,"Publisher : O'Reilly Media; 1st edition (January 3, 2017)
Language : English
Paperback : 546 pages
ISBN-10 : 1491912057
ISBN-13 : 978-1491912058
Item Weight : 2.05 pounds
Dimensions : 7 x 1.11 x 9.19 inches",Na,Na,Na,Na
