,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
0,The Kaggle Book: Data analysis and machine learning for competitive data science,Konrad Banachewicz,4.5 out of 5,99 ratings,$46.99,Na,Computer Science,"Publisher : Packt Publishing (April 22, 2022)
Language : English
Paperback : 534 pages
ISBN-10 : 1801817472
ISBN-13 : 978-1801817479
Item Weight : 2 pounds
Dimensions : 7.5 x 1.21 x 9.25 inches",Na,Na,Na,Na
1,"Product Management in Practice: A Practical, Tactical Guide for Your First Day and Every Day After",Matt LeMay,4.8 out of 5,39 ratings,$32.99,Na,Management & Leadership,"Publisher : O'Reilly Media; 2nd edition (June 21, 2022)
Language : English
Paperback : 294 pages
ISBN-10 : 1098119738
ISBN-13 : 978-1098119737
Item Weight : 14.1 ounces
Dimensions : 6 x 0.75 x 8.75 inches",Na,Na,Na,Na
2,Version Control with Git: Powerful Tools and Techniques for Collaborative Software Development,Prem Ponuthorai,5 out of 5,1 rating,$48.49,Na,Networking & Cloud Computing,"Publisher : O'Reilly Media; 3rd edition (November 29, 2022)
Language : English
Paperback : 546 pages
ISBN-10 : 1492091197
ISBN-13 : 978-1492091196
Item Weight : 1.98 pounds
Dimensions : 6.75 x 1.25 x 9 inches",Na,Na,Na,Na
3,Data Analysis for Social Science: A Friendly and Practical Introduction,Elena Llaudet,4.8 out of 5,8 ratings,$42.99,Na,Mathematics,"Publisher : Princeton University Press (November 29, 2022)
Language : English
Paperback : 256 pages
ISBN-10 : 0691199434
ISBN-13 : 978-0691199436
Item Weight : 1.35 pounds
Dimensions : 8 x 0.9 x 9.9 inches",Na,Na,Na,Na
4,"CISA Certified Information Systems Auditor All-in-One Exam Guide, Fourth Edition",Peter H. Gregory,4.6 out of 5,193 ratings,$47.53,Na,Networking & Cloud Computing,"Publisher : McGraw Hill; 4th edition (November 14, 2019)
Language : English
Paperback : 816 pages
ISBN-10 : 1260458806
ISBN-13 : 978-1260458800
Item Weight : 2.52 pounds
Dimensions : 7.3 x 1.6 x 9 inches",,Na,Na,Na
5,Guide To Computer Forensics and Investigations - Standalone Book,Bill Nelson,4.4 out of 5,264 ratings,$137.94,$14.48,Criminal Law,"Publisher : Cengage Learning; 6th edition (April 17, 2018)
Language : English
Paperback : 688 pages
ISBN-10 : 1337568945
ISBN-13 : 978-1337568944
Item Weight : 2.49 pounds
Dimensions : 7.25 x 1 x 8.75 inches",,Na,Na,Na
6,The Official (ISC)2 CCSP CBK Reference,Aaron Kraus,4.5 out of 5,8 ratings,$49.99,Na,Certification,"Publisher : Sybex; 4th edition (October 11, 2022)
Language : English
Hardcover : 352 pages
ISBN-10 : 1119909015
ISBN-13 : 978-1119909019
Item Weight : 1.4 pounds
Dimensions : 7.6 x 1 x 9.4 inches",Na,Na,Na,Na
7,"Introduction to Java Programming and Data Structures, Comprehensive Version",Y. Liang,4.6 out of 5,100 ratings,$114.66,$52.81,Programming Languages,"Publisher : Pearson; 12th edition (December 4, 2019)
Language : English
Paperback : 1240 pages
ISBN-10 : 0136520235
ISBN-13 : 978-0136520238
Item Weight : 3.99 pounds
Dimensions : 8.2 x 2.05 x 10 inches",,Na,Na,Na
8,Microservices Patterns: With examples in Java,Chris Richardson,4.6 out of 5,556 ratings,$40.99,Na,Programming,"Publisher : Manning; 1st edition (November 19, 2018)
Language : English
Paperback : 520 pages
ISBN-10 : 1617294543
ISBN-13 : 978-1617294549
Item Weight : 2.16 pounds
Dimensions : 7.38 x 1.1 x 9.25 inches",Na,Na,Na,Na
9,DevOps for the Desperate: A Hands-On Survival Guide,Bradley Smith,4.5 out of 5,28 ratings,$24.49,Na,Computer Science,"Publisher : No Starch Press (July 12, 2022)
Language : English
Paperback : 176 pages
ISBN-10 : 1718502486
ISBN-13 : 978-1718502482
Item Weight : 13 ounces
Dimensions : 7 x 0.57 x 9.25 inches",Na,Na,Na,Na
10,"Quicken for Windows: The Official Guide, Eighth Edition",Bobbi Sandberg,4.3 out of 5,279 ratings,$42.99,Na,Networking & Cloud Computing,"Publisher : McGraw Hill; 8th edition (March 27, 2018)
Language : English
Paperback : 576 pages
ISBN-10 : 1260117308
ISBN-13 : 978-1260117301
Item Weight : 1.8 pounds
Dimensions : 7.4 x 1.1 x 9.1 inches",Na,Na,Na,Na
11,Starting Out with Programming Logic and Design (What's New in Computer Science),Tony Gaddis,4.5 out of 5,263 ratings,$111.99,Na,Programming,"Publisher : Pearson; 5th edition (February 2, 2018)
Language : English
Paperback : 832 pages
ISBN-10 : 0134801156
ISBN-13 : 978-0134801155
Item Weight : 3 pounds
Dimensions : 7.9 x 1.3 x 9.9 inches",,Na,Na,Na
12,"The Computer Programming Bible: A Step by Step Guide On How To Master From The Basics to Advanced of Python, C, C++, C#, HTML Coding Raspberry Pi3",C.P.A Inc,4.4 out of 5,191 ratings,$13.74,Na,Computer Science,"Publisher : Independently published (January 16, 2020)
Language : English
Paperback : 231 pages
ISBN-10 : 1661846289
ISBN-13 : 978-1661846282
Item Weight : 9.6 ounces
Dimensions : 5 x 0.53 x 8 inches",,#1 Best Seller,in Cybernetics,Na
13,Building Event-Driven Microservices: Leveraging Organizational Data at Scale,Adam Bellemare,4.4 out of 5,204 ratings,$35.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (July 28, 2020)
Language : English
Paperback : 324 pages
ISBN-10 : 1492057894
ISBN-13 : 978-1492057895
Item Weight : 1.14 pounds
Dimensions : 7 x 0.68 x 9.19 inches",Na,Na,Na,Na
14,ITIL4 Foundation Complete certification kit,Mr Scott Tunn,4.1 out of 5,127 ratings,$84.55,Na,Business Technology,"Publisher : Independently published (April 19, 2019)
Language : English
Paperback : 119 pages
ISBN-10 : 109474784X
ISBN-13 : 978-1094747842
Item Weight : 11.9 ounces
Dimensions : 8.5 x 0.27 x 11 inches",,Na,Na,Na
15,Computer Keyboarding for Beginners,Edward Fry,4.3 out of 5,494 ratings,$9.99,Na,Computer Science,"Publisher : Teacher Created Resources; Revised edition (September 1, 1999)
Language : English
Paperback : 64 pages
ISBN-10 : 1576907643
ISBN-13 : 978-1576907641
Reading age : Baby - 14 years
Item Weight : 5.6 ounces
Dimensions : 8.5 x 0.19 x 11 inches",Na,Na,Na,Na
16,Quantum Computing: An Applied Approach,Jack D. Hidary,4.7 out of 5,44 ratings,$26.49,Na,Physics,"Publisher : Springer; 2nd ed. 2021 edition (December 20, 2021)
Language : English
Hardcover : 445 pages
ISBN-10 : 3030832732
ISBN-13 : 978-3030832735
Item Weight : 0.071 ounces
Dimensions : 6.3 x 0.9 x 9.4 inches",Na,Na,Na,Na
17,How to Measure Anything in Cybersecurity Risk,Douglas W. Hubbard,4.5 out of 5,273 ratings,$32.80,Na,Mathematics,"ASIN : 1119085292
Publisher : Wiley; 1st edition (July 25, 2016)
Language : English
Hardcover : 304 pages
ISBN-10 : 9781119085294
ISBN-13 : 978-1119085294
Item Weight : 1.06 pounds
Dimensions : 6.1 x 1.2 x 9.1 inches",,Na,Na,Na
18,Photoshop Elements 2023 For Dummies,Barbara Obermeier,3.1 out of 5,4 ratings,$36.99,Na,Graphics & Design,"Publisher : For Dummies; 1st edition (November 23, 2022)
Language : English
Paperback : 496 pages
ISBN-10 : 1119912903
ISBN-13 : 978-1119912903
Item Weight : 2.15 pounds
Dimensions : 7.4 x 1 x 9.2 inches",Na,Na,Na,Na
19,Networking For Dummies,Doug Lowe,4.5 out of 5,232 ratings,$33.55,Na,Operating Systems,"Publisher : For Dummies; 12th edition (July 21, 2020)
Language : English
Paperback : 480 pages
ISBN-10 : 1119648505
ISBN-13 : 978-1119648505
Item Weight : 2.04 pounds
Dimensions : 7.2 x 1.3 x 9 inches",Na,Na,Na,Na
20,"Mike Meyers' CompTIA Security+ Certification Guide, Third Edition (Exam SY0-601)",Mike Meyers,4.7 out of 5,268 ratings,$39.04,Na,Certification,"Publisher : McGraw Hill; 3rd edition (May 4, 2021)
Language : English
Paperback : 832 pages
ISBN-10 : 1260473694
ISBN-13 : 978-1260473698
Item Weight : 2.59 pounds
Dimensions : 7.5 x 1.5 x 9 inches",Na,Na,Na,Na
21,Access For Dummies (For Dummies (Computer/Tech)),Laurie A. Ulrich,4.5 out of 5,34 ratings,$22.49,Na,Software,"Publisher : For Dummies; 1st edition (November 24, 2021)
Language : English
Paperback : 432 pages
ISBN-10 : 1119829089
ISBN-13 : 978-1119829089
Item Weight : 1.2 pounds
Dimensions : 7.38 x 0.98 x 9.25 inches",,#1 Best Seller,in Microsoft Access Database Guides,Na
22,Effective C: An Introduction to Professional C Programming,Robert C. Seacord,4.6 out of 5,256 ratings,$38.50,Na,Programming,"Publisher : No Starch Press (August 4, 2020)
Language : English
Paperback : 272 pages
ISBN-10 : 1718501048
ISBN-13 : 978-1718501041
Item Weight : 1.1 pounds
Dimensions : 7.06 x 0.65 x 9.25 inches",Na,Na,Na,Na
23,"Deep Learning with PyTorch: Build, train, and tune neural networks using Python tools",Eli Stevens,4.4 out of 5,103 ratings,$36.26,Na,Computer Science,"Publisher : Manning; 1st edition (August 4, 2020)
Language : English
Paperback : 520 pages
ISBN-10 : 1617295264
ISBN-13 : 978-1617295263
Item Weight : 1.98 pounds
Dimensions : 7.38 x 1 x 9.25 inches",Na,Na,Na,Na
24,"The Visual Story: Creating the Visual Structure of Film, TV, and Digital Media",Bruce Block,4.7 out of 5,88 ratings,$39.95,Na,Performing Arts,"Publisher : Routledge; 3rd edition (August 5, 2020)
Language : English
Paperback : 340 pages
ISBN-10 : 113801415X
ISBN-13 : 978-1138014152
Item Weight : 2.16 pounds
Dimensions : 7 x 0.75 x 9.75 inches",Na,Na,Na,Na
25,The Site Reliability Workbook: Practical Ways to Implement SRE,Betsy Beyer,4.7 out of 5,353 ratings,$31.49,Na,Engineering,"Publisher : O'Reilly Media; 1st edition (September 4, 2018)
Language : English
Paperback : 500 pages
ISBN-10 : 1492029505
ISBN-13 : 978-1492029502
Item Weight : 1.47 pounds
Dimensions : 7 x 1.03 x 9.19 inches",Na,Na,Na,Na
26,"CompTIA Server+ Certification All-in-One Exam Guide, Second Edition (Exam SK0-005)",Daniel Lachance,4.6 out of 5,111 ratings,$49.12,Na,Certification,"Publisher : McGraw Hill; 2nd edition (August 3, 2021)
Language : English
Hardcover : 448 pages
ISBN-10 : 1260469913
ISBN-13 : 978-1260469912
Item Weight : 2.01 pounds
Dimensions : 7.25 x 1 x 9 inches",Na,Na,Na,Na
27,Problem Solving with C++,Walter Savitch,4.5 out of 5,128 ratings,$143.99,$59.46,Programming Languages,"Publisher : Pearson; 10th edition (February 10, 2017)
Language : English
Paperback : 1120 pages
ISBN-10 : 0134448286
ISBN-13 : 978-0134448282
Lexile measure : 1220L
Item Weight : 3.25 pounds
Dimensions : 7.4 x 1.95 x 9.15 inches",,Na,Na,Na
28,"Cism Certified Information Security Manager All-In-One Exam Guide, Second Edition",Peter H. Gregory,4.5 out of 5,18 ratings,$55.49,Na,Certification,"Publisher : McGraw Hill; 2nd edition (October 17, 2022)
Language : English
Paperback : 656 pages
ISBN-10 : 1264268319
ISBN-13 : 978-1264268313
Item Weight : 2.46 pounds
Dimensions : 7 x 1.5 x 8.75 inches",Na,Na,Na,Na
29,Python for Algorithmic Trading: From Idea to Cloud Deployment,Yves Hilpisch,4.3 out of 5,104 ratings,$44.49,Na,Investing,"Publisher : O'Reilly Media; 1st edition (December 8, 2020)
Language : English
Paperback : 380 pages
ISBN-10 : 149205335X
ISBN-13 : 978-1492053354
Item Weight : 3.53 ounces
Dimensions : 7 x 0.9 x 9.1 inches",Na,Na,Na,Na
30,Murach's SQL Server 2019 for Developers,Joel Murach,4.6 out of 5,390 ratings,$51.17,Na,Databases & Big Data,"Publisher : Mike Murach & Associates; Illustrated edition (April 1, 2020)
Language : English
Paperback : 674 pages
ISBN-10 : 1943872570
ISBN-13 : 978-1943872572
Item Weight : 2.95 pounds
Dimensions : 8 x 1.5 x 9.75 inches",,Na,Na,Na
31,Understanding Semiconductors: A Technical Guide for Non-Technical People,Corey Richard,5 out of 5,43 ratings,$34.99,Na,Internet & Social Media,"Publisher : Apress; 1st ed. edition (December 30, 2022)
Language : English
Paperback : 315 pages
ISBN-10 : 1484288467
ISBN-13 : 978-1484288467
Item Weight : 1.07 pounds
Dimensions : 6.14 x 0.66 x 9.21 inches",Na,Na,Na,Na
32,The Effective Engineer: How to Leverage Your Efforts In Software Engineering to Make a Disproportionate and Meaningful Impact,Edmond Lau,4.5 out of 5,126 ratings,$39.00,Na,Programming,"Publisher : Effective Bookshelf; 1st edition (March 19, 2015)
Language : English
Paperback : 260 pages
ISBN-10 : 0996128107
ISBN-13 : 978-0996128100
Item Weight : 12.8 ounces
Dimensions : 6 x 0.59 x 9 inches",Na,Na,Na,Na
33,Data Structures and Algorithms in Java,Michael T. Goodrich,4.3 out of 5,118 ratings,$174.95,$14.99,Computer Science,"Publisher : Wiley; 6th edition (January 28, 2014)
Language : English
Paperback : 720 pages
ISBN-10 : 1118771338
ISBN-13 : 978-1118771334
Item Weight : 2.25 pounds
Dimensions : 7.4 x 1.2 x 9.2 inches",,Na,Na,Na
34,Data Structures & Algorithms in Python (Developer's Library),John Canning,4.9 out of 5,12 ratings,$68.45,Na,Programming,"Publisher : Addison-Wesley Professional; 1st edition (October 14, 2022)
Language : English
Paperback : 928 pages
ISBN-10 : 013485568X
ISBN-13 : 978-0134855684
Item Weight : 2.93 pounds
Dimensions : 7 x 1.21 x 9.13 inches",Na,Na,Na,Na
35,"Node.js Design Patterns: Design and implement production-grade Node.js applications using proven patterns and techniques, 3rd Edition",Mario Casciaro,4.6 out of 5,239 ratings,$46.74,Na,Web Development & Design,"Publisher : Packt Publishing (July 29, 2020)
Language : English
Paperback : 664 pages
ISBN-10 : 1839214112
ISBN-13 : 978-1839214110
Item Weight : 2.47 pounds
Dimensions : 7.5 x 1.5 x 9.25 inches",Na,Na,Na,Na
36,"Make: Calculus: Build models to learn, visualize, and explore",Joan Horvath,5 out of 5,10 ratings,$26.99,Na,Mathematics,"Publisher : Make Community, LLC; 1st edition (September 13, 2022)
Language : English
Paperback : 327 pages
ISBN-10 : 168045739X
ISBN-13 : 978-1680457391
Item Weight : 1.68 pounds
Dimensions : 7.4 x 1 x 9.1 inches",Na,Na,Na,Na
