,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
0,"Unit Testing Principles, Practices, and Patterns: Effective testing styles, patterns, and reliable automation for unit testing, mocking, and integration testing with examples in C#",Vladimir Khorikov,4.7 out of 5,169 ratings,$49.99,Na,Programming,"Publisher : Manning; 1st edition (January 14, 2020)
Language : English
Paperback : 304 pages
ISBN-10 : 1617296279
ISBN-13 : 978-1617296277
Item Weight : 1.15 pounds
Dimensions : 7.38 x 0.7 x 9.25 inches",Na,Na,Na,Na
1,SQL: Learn SQL (using MySQL) in One Day and Learn It Well. SQL for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 5),LCF Publishing,4.5 out of 5,912 ratings,Na,Na,Computers & Technology,"ASIN : B07K374J19
Publication date : October 31, 2018
Language : English
File size : 5599 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 166 pages",Na,#1 Best Seller,in Software Engineering,Book 5 of 7: Learn Coding Fast with Hands-On Project
2,Container Security: Fundamental Technology Concepts that Protect Containerized Applications,Liz Rice,4.6 out of 5,228 ratings,$35.49,Na,Networking & Cloud Computing,"Publisher : O'Reilly Media; 1st edition (April 28, 2020)
Language : English
Paperback : 200 pages
ISBN-10 : 1492056707
ISBN-13 : 978-1492056706
Item Weight : 11.5 ounces
Dimensions : 7 x 0.42 x 9.19 inches",,Na,Na,Na
3,"Blender 3D By Example: A project-based guide to learning the latest Blender 3D, EEVEE rendering engine, and Grease Pencil, 2nd Edition",Oscar Baechler,4.4 out of 5,166 ratings,$33.49,Na,Computer Science,"Publisher : Packt Publishing; Illustrated edition (May 29, 2020)
Language : English
Paperback : 658 pages
ISBN-10 : 178961256X
ISBN-13 : 978-1789612561
Item Weight : 2.45 pounds
Dimensions : 7.5 x 1.49 x 9.25 inches",Na,#1 Best Seller,in Rendering & Ray Tracing,Na
4,AWS Certified Cloud Practitioner Practice Tests,Neal Davis,4.7 out of 5,561 ratings,$24.99,Na,Networking & Cloud Computing,"ASIN : B08F6LDVD3
Publisher : Independently published (August 3, 2020)
Language : English
Paperback : 297 pages
ISBN-13 : 979-8671834796
Item Weight : 1.53 pounds
Dimensions : 8.5 x 0.67 x 11 inches",Na,Na,Na,Na
5,The Practice of Enterprise Architecture: A Modern Approach to Business and IT Alignment,Svyatoslav Kotusev,4.6 out of 5,56 ratings,$53.91,Na,Business Technology,"Publisher : SK Publishing; 2nd ed. edition (January 15, 2021)
Language : English
Paperback : 569 pages
ISBN-10 : 064508252X
ISBN-13 : 978-0645082524
Item Weight : 2.13 pounds
Dimensions : 7.5 x 1.29 x 9.25 inches",Na,Na,Na,Na
6,Tableau for Healthcare,Daniel Benevento,4.3 out of 5,102 ratings,$59.99,Na,Medicine,"Publisher : HealthDataViz (April 23, 2021)
Language : English
Paperback : 396 pages
ISBN-10 : 0578777924
ISBN-13 : 978-0578777924
Item Weight : 2.48 pounds
Dimensions : 8.5 x 0.93 x 11 inches",Na,Na,Na,Na
7,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 out of 5,9 ratings,$28.99,Na,Computer Science,"Publisher : For Dummies; 1st edition (December 8, 2022)
Language : English
Paperback : 288 pages
ISBN-10 : 1119906776
ISBN-13 : 978-1119906773
Item Weight : 13.6 ounces
Dimensions : 7.4 x 0.7 x 9.2 inches",Na,Na,Na,Na
8,CEH v11 Certified Ethical Hacker Study Guide + Practice Tests Set,Ric Messier,4.5 out of 5,96 ratings,$63.51,Na,Certification,"Publisher : Sybex; 2nd edition (October 12, 2021)
Language : English
Paperback : 2 pages
ISBN-10 : 1119825393
ISBN-13 : 978-1119825395
Item Weight : 3.3 pounds
Dimensions : 7.3 x 2.1 x 9.2 inches",Na,Na,Na,Na
9,Star Schema The Complete Reference (The Complete Reference),Christopher Adamson,4.7 out of 5,191 ratings,$39.00,Na,Databases & Big Data,"ASIN : 0071744320
Publisher : McGraw Hill; 1st edition (July 28, 2010)
Language : English
Paperback : 510 pages
ISBN-10 : 9780071744324
ISBN-13 : 978-0071744324
Item Weight : 1.81 pounds
Dimensions : 7.4 x 0.97 x 9.1 inches",,Na,Na,Na
10,CWNA Certified Wireless Network Administrator Study Guide: Exam CWNA-108,David A. Westcott,4.8 out of 5,88 ratings,$38.49,Na,Networking & Cloud Computing,"Publisher : Sybex; 6th edition (March 9, 2021)
Language : English
Paperback : 1088 pages
ISBN-10 : 1119734509
ISBN-13 : 978-1119734505
Item Weight : 4.18 pounds
Dimensions : 7.4 x 2.3 x 9.2 inches",Na,Na,Na,Na
