,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
11,AWS Certified Solutions Architect Professional Training Notes,Neal Davis,4.8 out of 5,98 ratings,$24.99,Na,Certification,"ASIN : B09TZBPZ6Z
Publisher : Independently published (March 6, 2022)
Language : English
Paperback : 319 pages
ISBN-13 : 979-8428029840
Item Weight : 1.23 pounds
Dimensions : 7 x 0.72 x 10 inches",Na,Na,Na,Na
12,AWS Certified Solutions Architect Study Guide: Associate SAA-CO2 Exam (Aws Certified Solutions Architect Official: Associate Exam),Ben Piper,4.5 out of 5,490 ratings,$33.49,Na,Certification,"Publisher : Sybex; 3rd edition (December 11, 2020)
Language : English
Paperback : 464 pages
ISBN-10 : 1119713080
ISBN-13 : 978-1119713081
Item Weight : 1.68 pounds
Dimensions : 7.3 x 1 x 9.2 inches",,Na,Na,Na
13,Robust Python: Write Clean and Maintainable Code,Patrick Viafore,4.5 out of 5,59 ratings,$32.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (August 17, 2021)
Language : English
Paperback : 378 pages
ISBN-10 : 1098100662
ISBN-13 : 978-1098100667
Item Weight : 1.33 pounds
Dimensions : 7 x 1 x 9 inches",Na,Na,Na,Na
14,The Recursive Book of Recursion: Ace the Coding Interview with Python and JavaScript,Al Sweigart,5 out of 5,22 ratings,$35.99,Na,Web Development & Design,"Publisher : No Starch Press (August 16, 2022)
Language : English
Paperback : 328 pages
ISBN-10 : 1718502028
ISBN-13 : 978-1718502024
Item Weight : 13 ounces
Dimensions : 7 x 0.75 x 9.25 inches",Na,Na,Na,Na
15,Programming Quantum Computers: Essential Algorithms and Code Samples,Eric Johnston,4.6 out of 5,151 ratings,$50.99,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (August 13, 2019)
Language : English
Paperback : 333 pages
ISBN-10 : 1492039683
ISBN-13 : 978-1492039686
Item Weight : 1.18 pounds
Dimensions : 7 x 0.7 x 9.19 inches",Na,Na,Na,Na
16,"Physically Based Rendering, fourth edition: From Theory to Implementation",Matt Pharr,Na,Na,$120.00,Na,Graphics & Design,"Publisher : The MIT Press; 4th edition (March 28, 2023)
Language : English
Hardcover : 1312 pages
ISBN-10 : 0262048027
ISBN-13 : 978-0262048026
Item Weight : 5.26 pounds
Dimensions : 8.25 x 2 x 10.31 inches",Na,Na,Na,Na
17,"Real-Time Rendering, Fourth Edition",Eric Haines,4 out of 5,189 ratings,$110.00,$46.73,Programming,"ASIN : 1138627003
Publisher : A K Peters/CRC Press; 4th edition (August 6, 2018)
Language : English
Hardcover : 1178 pages
ISBN-10 : 9781138627000
ISBN-13 : 978-1138627000
Item Weight : 5.56 pounds
Dimensions : 7.7 x 1.9 x 9.4 inches",,Na,Na,Na
18,"Algorithmic Short Selling with Python: Refine your algorithmic trading edge, consistently generate investment ideas, and build a robust long/short product",Laurent Bernut,4.8 out of 5,46 ratings,$51.99,Na,Computer Science,"Publisher : Packt Publishing (September 30, 2021)
Language : English
Paperback : 376 pages
ISBN-10 : 1801815194
ISBN-13 : 978-1801815192
Item Weight : 1.43 pounds
Dimensions : 7.5 x 0.85 x 9.25 inches",Na,Na,Na,Na
19,"The Theory and Practice of Enterprise AI: Recipes and Reference Implementations for Marketing, Supply Chain, and Production Operations",Ilya Katsov,5 out of 5,5 ratings,$49.80,Na,Computer Science,"Publisher : Ilya Katsov (August 12, 2022)
Language : English
Hardcover : 576 pages
ISBN-10 : 0578328623
ISBN-13 : 978-0578328621
Item Weight : 2.06 pounds
Dimensions : 6 x 1.25 x 9 inches",Na,Na,Na,Na
20,"Hands-On RTOS with Microcontrollers: Building real-time embedded systems using FreeRTOS, STM32 MCUs, and SEGGER debug tools",Brian Amos,4.7 out of 5,70 ratings,$42.96,Na,Hardware & DIY,"Publisher : Packt Publishing (May 15, 2020)
Language : English
Paperback : 496 pages
ISBN-10 : 1838826734
ISBN-13 : 978-1838826734
Item Weight : 1.86 pounds
Dimensions : 7.5 x 1.12 x 9.25 inches",Na,#1 Best Seller,in Computer Hardware Embedded Systems,Na
21,"Programming Arduino: Getting Started with Sketches, Second Edition (Tab)",Simon Monk,4.6 out of 5,"1,619 ratings",$15.00,Na,Programming Languages,"Publisher : McGraw Hill TAB; 2nd edition (June 9, 2016)
Language : English
Paperback : 192 pages
ISBN-10 : 1259641635
ISBN-13 : 978-1259641633
Item Weight : 8.4 ounces
Dimensions : 6.2 x 0.4 x 8.9 inches",Na,Na,Na,Part of: Electronics (18 books)
22,AutoCAD For Dummies (For Dummies (Computer/Tech)),Ralph Grabowski,4.6 out of 5,21 ratings,$30.49,Na,Graphics & Design,"Publisher : For Dummies; 19th edition (March 15, 2022)
Language : English
Paperback : 544 pages
ISBN-10 : 1119868769
ISBN-13 : 978-1119868767
Item Weight : 1.55 pounds
Dimensions : 7.2 x 1.2 x 9.1 inches",Na,Na,Na,Na
23,CompTIA Network+ N10-008 Cert Guide (Certification Guide),Anthony Sequeira,4.6 out of 5,62 ratings,$40.99,Na,Networking & Cloud Computing,"Publisher : Pearson; 1st edition (October 29, 2021)
Language : English
Hardcover : 752 pages
ISBN-10 : 0137449941
ISBN-13 : 978-0137449941
Item Weight : 3.09 pounds
Dimensions : 7.6 x 1.7 x 9.2 inches",Na,Na,Na,Na
24,Essential Mathematics for Quantum Computing: A beginner's guide to just the math you need without needless complexities,Leonard S. Woody III,4.7 out of 5,26 ratings,$46.99,Na,Computer Science,"Publisher : Packt Publishing (April 22, 2022)
Language : English
Paperback : 252 pages
ISBN-10 : 1801073147
ISBN-13 : 978-1801073141
Item Weight : 15.6 ounces
Dimensions : 7.5 x 0.57 x 9.25 inches",Na,Na,Na,Na
25,Reliable Machine Learning: Applying SRE Principles to ML in Production,Cathy Chen,4.6 out of 5,10 ratings,$52.99,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (October 25, 2022)
Language : English
Paperback : 408 pages
ISBN-10 : 1098106229
ISBN-13 : 978-1098106225
Item Weight : 1.5 pounds
Dimensions : 7.25 x 1.25 x 9.5 inches",Na,Na,Na,Na
26,A Smarter Way to Learn Python: Learn it faster. Remember it longer.,Mark Myers,4.6 out of 5,"1,078 ratings",Na,Na,Computers & Technology,"ASIN : B077Z55G3B
Publication date : December 6, 2017
Language : English
File size : 2918 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 238 pages
Page numbers source ISBN : 1974431479",Na,Na,Na,Na
27,"Java How to Program, Early Objects (Deitel: How to Program)",Paul Deitel,4.3 out of 5,178 ratings,$189.45,$58.21,Programming Languages,"ASIN : 0134743350
Publisher : Pearson; 11th edition (February 20, 2017)
Language : English
Paperback : 1296 pages
ISBN-10 : 9780134743356
ISBN-13 : 978-0134743356
Item Weight : 3.56 pounds
Dimensions : 7 x 1.6 x 9.1 inches",,Na,Na,Na
28,"Salesforce for Beginners: A step-by-step guide to optimize sales and marketing and automate business processes with the Salesforce platform, 2nd Edition",Sharif Shaalan,4.8 out of 5,25 ratings,$29.99,Na,Networking & Cloud Computing,"Publisher : Packt Publishing; 2nd ed. edition (October 31, 2022)
Language : English
Paperback : 532 pages
ISBN-10 : 1803239107
ISBN-13 : 978-1803239101
Item Weight : 2 pounds
Dimensions : 7.5 x 1.2 x 9.25 inches",Na,Na,Na,Na
29,"Bulletproof TLS and PKI, Second Edition: Understanding and Deploying SSL/TLS and PKI to Secure Servers and Web Applications",Ivan Ristic,4.8 out of 5,32 ratings,$69.00,Na,Networking & Cloud Computing,"Publisher : Feisty Duck; 2nd edition (January 10, 2022)
Language : English
Paperback : 512 pages
ISBN-10 : 1907117091
ISBN-13 : 978-1907117091
Item Weight : 1.92 pounds
Dimensions : 7.5 x 1.03 x 9.25 inches",Na,Na,Na,Na
30,Microsoft Certified Azure Fundamentals Study Guide: Exam AZ-900,Jim Boyce,4.5 out of 5,49 ratings,$23.92,Na,Certification,"Publisher : Sybex; 1st edition (April 23, 2021)
Language : English
Paperback : 256 pages
ISBN-10 : 1119770920
ISBN-13 : 978-1119770923
Item Weight : 15.1 ounces
Dimensions : 7.38 x 0.58 x 9.25 inches",Na,Na,Na,Na
31,Building Blocks of Tabletop Game Design: An Encyclopedia of Mechanisms,Geoffrey Engelstein,4.5 out of 5,24 ratings,$63.12,Na,Programming,"Publisher : CRC Press; 2nd edition (March 3, 2022)
Language : English
Paperback : 626 pages
ISBN-10 : 1032015810
ISBN-13 : 978-1032015811
Item Weight : 2.25 pounds
Dimensions : 6 x 1.25 x 9 inches",Na,Na,Na,Na
32,5S for Operators: 5 Pillars of the Visual Workplace (For Your Organization!),Hiroyuki Hirano,4.5 out of 5,135 ratings,$38.95,Na,Management & Leadership,"ASIN : 1563271230
Publisher : Productivity Press; 1st edition (March 1, 1996)
Language : English
Paperback : 136 pages
ISBN-10 : 9781563271236
ISBN-13 : 978-1563271236
Item Weight : 8.8 ounces
Dimensions : 7 x 0.32 x 10 inches",,Na,Na,Na
33,Hands-On Programming with R: Write Your Own Functions and Simulations,Garrett Grolemund,4.6 out of 5,260 ratings,$31.99,Na,Mathematics,"Publisher : O'Reilly Media (August 12, 2014)
Language : English
Paperback : 230 pages
ISBN-10 : 1449359019
ISBN-13 : 978-1449359010
Item Weight : 14.6 ounces
Dimensions : 7 x 0.57 x 9.19 inches",Na,Na,Na,Na
34,CompTIA Cloud+ Study Guide: Exam CV0-003,Ben Piper,4.5 out of 5,43 ratings,$31.99,Na,Certification,"Publisher : Sybex; 3rd edition (August 27, 2021)
Language : English
Paperback : 480 pages
ISBN-10 : 1119810868
ISBN-13 : 978-1119810865
Item Weight : 1.8 pounds
Dimensions : 7.4 x 1 x 9.2 inches",Na,Na,Na,Na
35,Multiple View Geometry in Computer Vision,Richard Hartley,4.8 out of 5,98 ratings,$97.15,$47.09,Computer Science,"Publisher : Cambridge University Press; 2nd edition (April 19, 2004)
Language : English
Paperback : 670 pages
ISBN-10 : 0521540518
ISBN-13 : 978-0521540513
Item Weight : 3.23 pounds
Dimensions : 6.69 x 1.35 x 9.61 inches",,Na,Na,Na
36,Programming Python: Powerful Object-Oriented Programming,Mark Lutz,4.6 out of 5,303 ratings,$73.23,Na,Programming,"Publisher : O'Reilly Media; Fourth edition (February 8, 2011)
Language : English
Paperback : 1626 pages
ISBN-10 : 0596158106
ISBN-13 : 978-0596158101
Item Weight : 5.1 pounds
Dimensions : 7 x 3 x 9.19 inches",Na,Na,Na,Na
37,Head First HTML and CSS: A Learner's Guide to Creating Standards-Based Web Pages,Elisabeth Robson,4.6 out of 5,741 ratings,$44.40,Na,Web Development & Design,"Publisher : O'Reilly Media; 2nd edition (October 2, 2012)
Language : English
Paperback : 762 pages
ISBN-10 : 0596159900
ISBN-13 : 978-0596159900
Item Weight : 3.56 pounds
Dimensions : 8 x 1.33 x 9.25 inches",,Na,Na,Na
38,DevOps For Dummies,Emily Freeman,4.4 out of 5,243 ratings,$19.59,Na,Programming,"Publisher : For Dummies; 1st edition (August 20, 2019)
Language : English
Paperback : 368 pages
ISBN-10 : 1119552222
ISBN-13 : 978-1119552222
Item Weight : 1.05 pounds
Dimensions : 7.2 x 0.8 x 9 inches",Na,Na,Na,Na
39,Adobe Illustrator CC For Dummies,David Karlins,4.4 out of 5,161 ratings,$26.49,Na,Graphics & Design,"Publisher : For Dummies; 1st edition (January 29, 2020)
Language : English
Paperback : 384 pages
ISBN-10 : 1119641535
ISBN-13 : 978-1119641537
Item Weight : 1.8 pounds
Dimensions : 7.4 x 0.9 x 9 inches",Na,Na,Na,Na
40,Instagram For Dummies (For Dummies (Computer/Tech)),Jenn Herman,4.4 out of 5,4 ratings,$19.99,Na,Processes & Infrastructure,"Publisher : For Dummies; 2nd edition (December 8, 2022)
Language : English
Paperback : 272 pages
ISBN-10 : 1119931797
ISBN-13 : 978-1119931799
Item Weight : 14.4 ounces
Dimensions : 5.9 x 0.7 x 8.9 inches",Na,Na,Na,Na
41,Transformers for Machine Learning: A Deep Dive (Chapman & Hall/CRC Machine Learning & Pattern Recognition),Uday Kamath,3.7 out of 5,11 ratings,$59.95,Na,Computer Science,"Publisher : Chapman and Hall/CRC; 1st edition (May 25, 2022)
Language : English
Paperback : 284 pages
ISBN-10 : 0367767341
ISBN-13 : 978-0367767341
Item Weight : 12.2 ounces
Dimensions : 6.5 x 0.75 x 9.5 inches",Na,Na,Na,Na
42,Build Better Jedox: How to build the best Jedox implementation,Mr Chris Mentor,Na,Na,$49.94,Na,Business Technology,"Publisher : Chris Mentor (February 10, 2023)
Language : English
Paperback : 184 pages
ISBN-10 : 0645739405
ISBN-13 : 978-0645739404
Item Weight : 11.8 ounces
Dimensions : 6 x 0.44 x 9 inches",Na,Na,Na,Na
43,AutoCAD 2023 Instructor: A Student Guide for In-Depth Coverage of AutoCAD's Commands and Features,James Leach,Na,Na,$94.27,Na,Graphics & Design,"Publisher : SDC Publications; 1st edition (February 8, 2023)
Language : English
Paperback : 1250 pages
ISBN-10 : 1630574937
ISBN-13 : 978-1630574932
Item Weight : 5.47 pounds",Na,Na,Na,Na
44,Introduction to Data Mining (2nd Edition) (What's New in Computer Science),Pang-Ning Tan,4 out of 5,71 ratings,$111.99,$49.10,Databases & Big Data,"Publisher : Pearson; 2nd edition (January 4, 2018)
Language : English
Hardcover : 864 pages
ISBN-10 : 0133128903
ISBN-13 : 978-0133128901
Item Weight : 3.4 pounds
Dimensions : 9.2 x 7.5 x 1.3 inches",,Na,Na,Na
45,This Is Service Design Methods: A Companion to This Is Service Design Doing,Marc Stickdorn,4.8 out of 5,135 ratings,$31.59,Na,Management & Leadership,"Publisher : O'Reilly Media; 1st edition (September 4, 2018)
Language : English
Paperback : 233 pages
ISBN-10 : 1492039594
ISBN-13 : 978-1492039594
Item Weight : 1.05 pounds
Dimensions : 7.2 x 0.6 x 9.1 inches",Na,Na,Na,Na
46,Introduction to the Theory of Computation,sipser,4.3 out of 5,478 ratings,$25.99,Na,Na,"ASIN : 8131525295
Publisher : CENGAGE INDIA; 3RD, INTERNATIONAL ECONOMY EDITION (January 1, 2014)
Language : English
Paperback : 480 pages
ISBN-10 : 8131771865
ISBN-13 : 978-8131525296
Item Weight : 0.071 ounces
Dimensions : 7.99 x 10 x 1.85 inches",Na,Na,Na,Na
47,Beyond Data: Reclaiming Human Rights at the Dawn of the Metaverse,Elizabeth M. Renieris,Na,Na,$26.95,Na,Politics & Government,"Publisher : The MIT Press (February 7, 2023)
Language : English
Hardcover : 240 pages
ISBN-10 : 0262047829
ISBN-13 : 978-0262047821
Item Weight : 1.05 pounds
Dimensions : 6.25 x 0.87 x 9.31 inches",Na,Na,Na,Na
48,Health Informatics: Practical Guide,William Hersh,5 out of 5,2 ratings,Na,Na,Computers & Technology,"ASIN : B0BB3KK5WB
Publisher : Lulu.com (August 12, 2022)
Publication date : August 12, 2022
Language : English
File size : 60029 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 1374 pages",Na,Na,Na,Na
49,Facebook For Dummies,Carolyn Abram,4.2 out of 5,89 ratings,$18.39,Na,Networking & Cloud Computing,"Publisher : For Dummies; 8th edition (May 4, 2021)
Language : English
Paperback : 432 pages
ISBN-10 : 1119782104
ISBN-13 : 978-1119782100
Item Weight : 1.27 pounds
Dimensions : 7.2 x 1.1 x 9 inches",Na,Na,Na,Na
50,"The Art of Leadership: Small Things, Done Well",Michael Lopp,4.4 out of 5,239 ratings,$24.99,Na,Business Culture,"Publisher : O'Reilly Media; 1st edition (June 9, 2020)
Language : English
Paperback : 198 pages
ISBN-10 : 1492045691
ISBN-13 : 978-1492045694
Item Weight : 12.8 ounces
Dimensions : 6 x 0.54 x 9 inches",Na,Na,Na,Na
51,Cybersecurity All-in-One For Dummies,Joseph Steinberg,3 out of 5,1 rating,$43.43,Na,Networking & Cloud Computing,"Publisher : For Dummies; 1st edition (February 7, 2023)
Language : English
Paperback : 720 pages
ISBN-10 : 139415285X
ISBN-13 : 978-1394152858
Item Weight : 2.05 pounds
Dimensions : 7.4 x 1.8 x 9.2 inches",Na,Na,Na,Na
52,Teach Yourself VISUALLY Windows 10 (Teach Yourself VISUALLY (Tech)),Paul McFedries,4.4 out of 5,397 ratings,$17.89,Na,Operating Systems,"Publisher : Visual; 3rd edition (July 8, 2020)
Language : English
Paperback : 352 pages
ISBN-10 : 1119698596
ISBN-13 : 978-1119698593
Item Weight : 1.5 pounds
Dimensions : 7.2 x 0.7 x 9.1 inches",Na,Na,Na,Na
53,Chromebook For Dummies,Peter H. Gregory,4.3 out of 5,793 ratings,$16.69,Na,Hardware & DIY,"Publisher : For Dummies; 2nd edition (March 31, 2020)
Language : English
Paperback : 496 pages
ISBN-10 : 1119651719
ISBN-13 : 978-1119651710
Item Weight : 1.4 pounds
Dimensions : 7.3 x 1.2 x 9.1 inches",Na,Na,Na,Na
54,VCP-DCV for vSphere 7.x (Exam 2V0-21.20) Official Cert Guide (VMware Press Certification),John Davis,4.5 out of 5,90 ratings,$59.99,$30.00,Networking & Cloud Computing,"Publisher : Pearson IT Certification; 4th edition (March 17, 2021)
Language : English
Hardcover : 720 pages
ISBN-10 : 0135898196
ISBN-13 : 978-0135898192
Item Weight : 3 pounds
Dimensions : 3.94 x 3.94 x 3.94 inches",,Na,Na,Part of: VMware Press Certification (6 books)
55,The Twenty-Six Words That Created the Internet,Jeff Kosseff,4.5 out of 5,122 ratings,$26.95,Na,Politics & Government,"Publisher : Cornell University Press; 1st edition (April 15, 2019)
Language : English
Hardcover : 328 pages
ISBN-10 : 1501714414
ISBN-13 : 978-1501714412
Reading age : 18 years and up
Item Weight : 1 pounds
Dimensions : 6 x 1.03 x 9 inches",Na,Na,Na,Na
56,Cryptography Engineering: Design Principles and Practical Applications,Niels Ferguson,4.5 out of 5,164 ratings,$46.79,Na,Security & Encryption,"Publisher : Wiley; 1st edition (March 15, 2010)
Language : English
Paperback : 384 pages
ISBN-10 : 0470474246
ISBN-13 : 978-0470474242
Item Weight : 1.17 pounds
Dimensions : 7.3 x 0.9 x 9.1 inches",Na,Na,Na,Na
57,Learn Excel 365 Expert Skills with The Smart Method: Sixth Edition: updated for Jan 2022 version 2201,Mike Smart,4.6 out of 5,230 ratings,$29.99,Na,Software,"Publisher : The Smart Method Ltd (February 7, 2022)
Language : English
Paperback : 655 pages
ISBN-10 : 1909253502
ISBN-13 : 978-1909253506
Item Weight : 3.74 pounds
Dimensions : 8.27 x 1.48 x 11.69 inches",Na,Na,Na,Na
58,CCNP and CCIE Security Core SCOR 350-701 Official Cert Guide,Omar Santos,4.6 out of 5,177 ratings,$56.62,Na,Certification,"Publisher : Cisco Press; 1st edition (May 26, 2020)
Language : English
Hardcover : 700 pages
ISBN-10 : 0135971977
ISBN-13 : 978-0135971970
Item Weight : 3.2 pounds
Dimensions : 7.65 x 1.95 x 9.4 inches",Na,Na,Na,Part of: Official Cert Guide (24 books)
59,"High-Dimensional Data Analysis with Low-Dimensional Models: Principles, Computation, and Applications",John Wright,4.9 out of 5,17 ratings,$79.99,Na,Computer Science,"Publisher : Cambridge University Press; New edition (April 7, 2022)
Language : English
Hardcover : 650 pages
ISBN-10 : 1108489737
ISBN-13 : 978-1108489737
Item Weight : 3.15 pounds
Dimensions : 6.75 x 1.5 x 9.75 inches",,Na,Na,Na
60,Business Data Communications and Networking,Jerry FitzGerald,4.5 out of 5,42 ratings,$64.99,$34.42,Networking & Cloud Computing,"Publisher : Wiley; 14th edition (December 3, 2020)
Language : English
Paperback : 416 pages
ISBN-10 : 1119702844
ISBN-13 : 978-1119702849
Item Weight : 1.69 pounds
Dimensions : 8 x 0.6 x 9.9 inches",,Na,Na,Na
61,Think Bayes: Bayesian Statistics in Python (O'reilly),Allen B. Downey,4.5 out of 5,59 ratings,$24.20,Na,Mathematics,"Publisher : O'Reilly Media; 2nd edition (June 8, 2021)
Language : English
Paperback : 338 pages
ISBN-10 : 149208946X
ISBN-13 : 978-1492089469
Item Weight : 1.19 pounds
Dimensions : 7 x 0.75 x 9 inches",Na,Na,Na,Na
62,Murach's ASP.NET Core MVC (2nd Edition),Murach,5 out of 5,1 rating,$55.33,Na,Programming,"Publisher : Mike Murach & Associates; 2nd edition (December 5, 2022)
Language : English
Paperback : 816 pages
ISBN-10 : 194387302X
ISBN-13 : 978-1943873029
Item Weight : 2.95 pounds
Dimensions : 7.95 x 1.65 x 9.92 inches",Na,Na,Na,Na
63,Certified Kubernetes Administrator (CKA) Study Guide: In-Depth Guidance and Practice,Benjamin Muschko,4.9 out of 5,27 ratings,$47.49,Na,Programming,"Publisher : O'Reilly Media; 1st edition (July 19, 2022)
Language : English
Paperback : 201 pages
ISBN-10 : 1098107225
ISBN-13 : 978-1098107222
Item Weight : 8 ounces
Dimensions : 7.25 x 0.5 x 9.5 inches",Na,Na,Na,Na
64,API Design Patterns,JJ Geewax,4.6 out of 5,32 ratings,$0.00,Na,Networking & Cloud Computing,Na,,Na,Na,Na
65,"Mastering Ubuntu Server: Explore the versatile, powerful Linux Server distribution Ubuntu 22.04 with this comprehensive guide, 4th Edition",Jay LaCroix,4.5 out of 5,44 ratings,$49.99,Na,Operating Systems,"Publisher : Packt Publishing; 4th ed. edition (September 22, 2022)
Language : English
Paperback : 582 pages
ISBN-10 : 1803234245
ISBN-13 : 978-1803234243
Item Weight : 2.17 pounds
Dimensions : 7.5 x 1.32 x 9.25 inches",,Na,Na,Na
66,Python Basics: A Practical Introduction to Python 3,David Amos,4.6 out of 5,505 ratings,Na,Na,Computers & Technology,"ASIN : B0BCN4H62C
Publisher : Real Python (realpython.com); 4th edition (August 30, 2022)
Publication date : August 30, 2022
Language : English
File size : 6858 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 637 pages
Page numbers source ISBN : 1775093328",Na,Na,Na,Na
67,OCP Oracle Certified Professional Java SE 17 Developer Study Guide: Exam 1Z0-829,Scott Selikoff,4.7 out of 5,62 ratings,$41.99,Na,Programming,"Publisher : Sybex; 1st edition (May 3, 2022)
Language : English
Paperback : 1056 pages
ISBN-10 : 1119864585
ISBN-13 : 978-1119864585
Item Weight : 3.75 pounds
Dimensions : 7.4 x 2.2 x 9.3 inches",Na,#1 Best Seller,in Oracle Certification,Na
68,The Nature of Code: Simulating Natural Systems with Processing,Daniel Shiffman,4.7 out of 5,269 ratings,$29.95,Na,Programming,"Publisher : The Nature of Code; 1st edition (December 13, 2012)
Language : English
Paperback : 520 pages
ISBN-10 : 0985930802
ISBN-13 : 978-0985930806
Item Weight : 1.95 pounds
Dimensions : 7.5 x 1.18 x 9.25 inches",Na,Na,Na,Na
