,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
217,AI and Machine Learning for Coders: A Programmer's Guide to Artificial Intelligence,Laurence Moroney,4.7 out of 5,145 ratings,$38.49,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (October 27, 2020)
Language : English
Paperback : 392 pages
ISBN-10 : 1492078190
ISBN-13 : 978-1492078197
Reading age : 1 year and up
Item Weight : 1.9 pounds
Dimensions : 6.93 x 1.18 x 8.98 inches",Na,Na,Na,Na
218,The User Experience Team of One: A Research and Design Survival Guide,Leah Buley,4.6 out of 5,423 ratings,$40.48,Na,Marketing & Sales,"Publisher : Rosenfeld Media; 1st edition (July 9, 2013)
Language : English
Paperback : 246 pages
ISBN-10 : 1933820187
ISBN-13 : 978-1933820187
Item Weight : 1.1 pounds
Dimensions : 6 x 0.56 x 9 inches",Na,Na,Na,Na
219,Rust for Rustaceans: Idiomatic Programming for Experienced Developers,Jon Gjengset,4.8 out of 5,195 ratings,$26.99,Na,Programming,"Publisher : No Starch Press (December 21, 2021)
Language : English
Paperback : 280 pages
ISBN-10 : 1718501854
ISBN-13 : 978-1718501850
Item Weight : 13 ounces
Dimensions : 7.06 x 0.69 x 9.25 inches",,Na,Na,Na
220,Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,Gwen Shapira,4.7 out of 5,109 ratings,$36.10,Na,Programming,"Publisher : O'Reilly Media; 2nd edition (November 30, 2021)
Language : English
Paperback : 488 pages
ISBN-10 : 1492043087
ISBN-13 : 978-1492043089
Item Weight : 1.7 pounds
Dimensions : 7 x 1 x 9 inches",Na,Na,Na,Na
221,Systems Performance (Addison-Wesley Professional Computing Series),Brendan Gregg,4.8 out of 5,199 ratings,$54.49,$27.26,Programming,"Publisher : Pearson; 2nd edition (December 16, 2020)
Language : English
Paperback : 928 pages
ISBN-10 : 0136820158
ISBN-13 : 978-0136820154
Item Weight : 3.11 pounds
Dimensions : 7 x 1.9 x 9.1 inches",,#1 Best Seller,in Computer Performance Optimization,Na
222,The Kubernetes Book: 2023 Edition,Nigel Poulton,4.5 out of 5,"1,130 ratings",Na,Na,Computers & Technology,"ASIN : B072TS9ZQZ
Publication date : June 18, 2017
Language : English
File size : 23212 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 311 pages
Page numbers source ISBN : B0BTKZW329",Na,#1 Best Seller,in System Administration,Na
223,Product Roadmaps Relaunched: How to Set Direction while Embracing Uncertainty,,4.6 out of 5,583 ratings,$21.99,Na,Management & Leadership,"Publisher : O'Reilly Media; 1st edition (November 28, 2017)
Language : English
Paperback : 265 pages
ISBN-10 : 149197172X
ISBN-13 : 978-1491971727
Item Weight : 1.47 pounds
Dimensions : 9.25 x 0.5 x 7.5 inches",Na,Na,Na,Na
224,Quantum Computation and Quantum Information: 10th Anniversary Edition,Michael A. Nielsen,4.8 out of 5,297 ratings,$75.73,Na,Physics,"ASIN : 1107002176
Publisher : Cambridge University Press; Anniversary edition (January 31, 2011)
Language : English
Hardcover : 702 pages
ISBN-10 : 9781107002173
ISBN-13 : 978-1107002173
Item Weight : 3.44 pounds
Dimensions : 7 x 1.6 x 9.8 inches",Na,Na,Na,Na
225,"Responsive Web Design with HTML5 and CSS: Build future-proof responsive websites using the latest HTML5 and CSS techniques, 4th Edition",Ben Frain,4.7 out of 5,41 ratings,$43.82,Na,Web Development & Design,"Publisher : Packt Publishing; 4th ed. edition (September 19, 2022)
Language : English
Paperback : 498 pages
ISBN-10 : 180324271X
ISBN-13 : 978-1803242712
Item Weight : 1.87 pounds
Dimensions : 7.5 x 1.13 x 9.25 inches",Na,Na,Na,Na
226,Object-Oriented Python: Master OOP by Building Games and GUIs,Irv Kalb,4.8 out of 5,88 ratings,$29.99,Na,Programming,"Publisher : No Starch Press (January 25, 2022)
Language : English
Paperback : 416 pages
ISBN-10 : 1718502060
ISBN-13 : 978-1718502062
Item Weight : 13 ounces
Dimensions : 7.06 x 0.87 x 9.25 inches",,Na,Na,Na
