,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
16,https://propzy.vn/mua/nha/hcm/quan-9/id234901,Bán biệt thự sân vườn theo phong cách Châu Âu. Tọa lạc ngay mặt tiền đường phường Long Phước quận 9.,id234901,160 tỷ,"16,75 triệu/m²","Đ.Long Thuận, P.Long Phước, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['10', '12', '9548.6m²', 'Đ.Bắc']"
17,https://propzy.vn/mua/dat-nen/hcm/quan-binh-tan/id57790,Bán đất nền mặt tiền đường quận Bình Tân,id57790,150 tỷ,25 triệu/m²,"Đ.Trần Văn Giàu, P.Tân Tạo A, Q.Bình Tân,","['ic ic-acreage', 'ic ic-compass']","['6000m²', 'Đ.Bắc']"
18,https://propzy.vn/mua/nha/hcm/quan-thu-duc/id99515,"Chính chủ Bán nhà mặt tiền đường kinh doanh tốt, phường Bình Thọ, Quận Thủ Đức",id99515,150 tỷ,"92,99 triệu/m²","Đ.Einstein, P.Bình Thọ, Q.Thủ Đức, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['20', '20', '1612.98m²', 'Đ.Bắc']"
19,https://propzy.vn/mua/dat-nen/hcm/quan-9/id419678,Bán đất lớn khu vực Thành phố Thủ Đức - Mặt tiền đường,id419678,140 tỷ,"88,6 triệu/m²","Đ.số 22, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['1580m²', 'Bắc']"
20,https://propzy.vn/mua/dat-nen/hcm/quan-binh-tan/id189718,BÁN LÔ ĐẤT 2 MẶT TIỀN ĐƯỜNG LỚN - NGAY KHU TÊN LỬA,id189718,135 tỷ,"102,88 triệu/m²","Đ.Khu Y Tế Kỹ Thuật Cao, P.Bình Trị Đông B,","['ic ic-acreage', 'ic ic-compass']","['1312.1m²', 'T.Nam']"
21,https://propzy.vn/mua/can-ho/hcm/quan-4/id387811,"Bán Căn Hộ Office Orient Apartment 1083,88m2 - View sông phong thủy tốt",id387811,130 tỷ,"119,93 triệu/m²","Đ.Bến Vân Đồn, P.1, Q.4, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1083.88m²', 'Đ.Nam']"
22,https://propzy.vn/mua/biet-thu/hcm/quan-go-vap/id394139,Bán nhà mặt tiền đường Quận Gò Vấp.,id394139,126 tỷ,"140,7 triệu/m²","Đ.Nguyễn Thái Sơn, P.3, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['5', '895.5m²', 'T.Bắc']"
23,https://propzy.vn/mua/dat-nong-nghiep/hcm/quan-thu-duc/id407070,"Bán đất nông nghiệp mặt tiền đường lớn, phường Linh Tây, Quận Thủ Đức - Tiện kinh doanh đa ngành nghề",id407070,121 tỷ,"69,88 triệu/m²","Đ.Phạm Văn Đồng, P.Linh Tây, Q.Thủ Đức,","['ic ic-acreage', 'ic ic-compass']","['1731.3m²', 'Đ.Nam']"
24,https://propzy.vn/mua/can-ho/hcm/quan-2/id418557,Bán căn hộ Sky Villa - Tòa Hawaii thuộc chung cư Đảo Kim Cương (Diamond Island) Quận 2,id418557,120 tỷ,200 triệu/m²,"Đ.104 - BTT, P.Bình Trưng Tây, Q.2, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['4', '5', '600m²']"
25,https://propzy.vn/mua/dat-nen/hcm/quan-12/id356192,Bán lô đất thổ cư diện tích 3253.3m2 Quận 12 - Cách 400m tới Khu tưởng niệm Vườn Cau Đỏ,id356192,119 tỷ,"36,57 triệu/m²","Đ.Thạnh Xuân 52, P.Thạnh Xuân, Q.12, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['3253.3m²', 'Bắc']"
