,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
628,https://propzy.vn/mua/nha/hcm/quan-7/id318809,Bán Nhà hẻm Phường Tân Hưng Quận 7,id318809,"2,2 tỷ","133,33 triệu/m²","Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '16.5m²', 'Nam']"
629,https://propzy.vn/mua/nha/hcm/quan-6/id355934,Nhà bán hẻm Bình Tiên P8 Q6 - 3.31 x 6.31m - Đúc 1 lầu,id355934,"2,2 tỷ","130,17 triệu/m²","Đ.Bình Tiên, P.8, Q.6, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '16.9m²', 'Tây']"
630,https://propzy.vn/mua/nha/hcm/quan-go-vap/id49849,"Bán nhà hẻm Quận Gò Vấp, sổ hồng chính chủ",id49849,"2,2 tỷ","137,5 triệu/m²","Đ.Số 3, P.9, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '2', '16m²', 'Đ.Nam']"
631,https://propzy.vn/mua/can-ho/hcm/quan-tan-phu/id265386,Bán căn hộ 2PN Chung cư Phú Thạnh quận Tân Phú - Không gian sống tiện ích,id265386,"2,2 tỷ","25,28 triệu/m²","Đ.Nguyễn Sơn, P.Phú Thạnh, Q.Tân Phú,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '87m²', 'Bắc']"
632,https://propzy.vn/mua/can-ho/hcm/quan-9/id399317,Căn hộ tầng cao Vinhomes Grandpark thành phố Thủ Đức,id399317,"2,2 tỷ","42,55 triệu/m²","Đ.Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '51.7m²', 'T.Nam']"
633,https://propzy.vn/mua/can-ho/hcm/quan-9/id330693,Bán căn hộ 1 phòng ngủ+ chung cư Vinhomes Grand Park - View hướng Đông Bắc,id330693,"2,2 tỷ","42,55 triệu/m²","Đ.Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '51.7m²', 'Đ.Bắc']"
634,https://propzy.vn/mua/can-ho/hcm/quan-9/id263240,Bán căn hộ 2 phòng ngủ chung cư Vinhomes Grand Park - View hướng Đông Nam,id263240,"2,2 tỷ","37,09 triệu/m²","Đ.Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '59.3m²', 'Đ.Nam']"
635,https://propzy.vn/mua/nha/hcm/quan-10/id385331,Bán Nhà Hẻm Thông Thoáng Lý Thái Tổ - Phường 10 Quận 10.,id385331,"2,2 tỷ","211,53 triệu/m²","Đ.Lý Thái Tổ, P.10, Q.10, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '10.4m²', 'T.Bắc']"
636,https://propzy.vn/mua/can-ho/hcm/quan-3/id416715,"Bán Chung cư Nguyễn Thiện Thuật Quận 3 - Lầu 2, diện tích 38m2",id416715,"2,2 tỷ","57,89 triệu/m²","Đ.Nguyễn Thiện Thuật, P.1, Q.3, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['1', '1', '38m²']"
637,https://propzy.vn/mua/dat-nen/hcm/quan-12/id398140,"Bán lô đất trồng cây, diện tích lớn Quận 12 - Gần khu tưởng niệm Vườn Cau Đỏ",id398140,"2,2 tỷ","18,8 triệu/m²","Đ.Thạnh Xuân 52, P.Thạnh Xuân, Q.12, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['117m²', 'Bắc']"
