,image_url,image_name
0,https://cdn.propzy.vn/listing/large/2021/07/01/listing_ad67cc28ad9b36f5128df1d7c44d0ada84acd2e243deae893a06979a8e275911.jpg,387193
1,https://cdn.propzy.vn/listing/large/2022/06/16/listing_c687287a7a36a13fd2a10b2dc2f1b7c05435d0792a437931878597f6f08d870c.jpg,417224
2,https://cdn.propzy.vn/listing/large/2021/07/19/listing_14d191063727c850a0ddfc2bfadbd34d80259034c707a47d9bd2181e03e34062.jpg,391821
3,https://cdn.propzy.vn/listing/large/2021/03/26/listing_a6564861784f57175c857e1c8e17f7875c1ff51b32b1ccd8bcd6de3e70c58d13.jpg,345253
4,https://cdn.propzy.vn/listing/large/2021/06/05/listing_9f2dec709b429ddb88ec49ec8f6aa282f6a9357a091fa3bdd3c09f29e6e35f45.jpg,377209
5,https://cdn.propzy.vn/listing/large/2022/02/16/listing_d18cdeada45e633e3fd03cb2e6b4f1b3274d047bf32daa2b46ff80154b2f671a.jpg,408203
6,https://cdn.propzy.vn/listing/large/2020/12/29/listing_9d8833625322dc4128ab7985287896ed06d4bce2ba96ac45102dddaafcc62064.jpg,314361
7,https://cdn.propzy.vn/listing/large/2022/02/11/listing_99d993cf074ddbbb94ba8475413432f00935316045d8f7bc434c9387c3137e84.jpg,207883
8,https://cdn.propzy.vn/listing/large/2020/12/30/listing_23908e7765667fb17493f39386f900b6c84253d8917e8f20bcf5c9e707962ced.jpg,315476
9,https://cdn.propzy.vn/listing/large/2021/09/09/listing_497d41477f6272474a33ca5e4bddf980aff4c0c6bef2d97def81257dfb9e7870.jpg,393792
10,https://cdn.propzy.vn/listing/large/2021/07/21/listing_e708e900925385669267dcf99f0dff1172ea476a9e487c66c9e0c199e9023f13.jpg,392210
11,https://cdn.propzy.vn/listing/large/2021/07/02/listing_3637e60d47638dece31947b6aa60708e92330403f812ffa17366e54101a0568a.jpg,387712
12,https://cdn.propzy.vn/listing/large/2019/11/20/listing_fa993fdda27d834fbfbd1d3ae316584e32488ebd8e4a8972951ac35255fa646a.jpg,107510
13,https://cdn.propzy.vn/listing/large/2022/06/22/listing_23844bddcbddc629100b9bdf7b13399aaf27efa0dc60d488083bbefd8a0c2d15.jpg,417476
14,https://cdn.propzy.vn/listing/large/2021/05/03/listing_ca6367b8dde34af51aa0d6bdca49c063e6b5de9ff4324117e8da5c501eb55195.jpg,360588
15,https://cdn.propzy.vn/listing/large/2021/05/04/listing_5dc681a3c2e6909863fc3f804c8999cc53f8eb5274e411a1c746ac161191c6b2.jpg,361245
16,https://cdn.propzy.vn/listing/default_detail.jpg,322100
17,https://cdn.propzy.vn/listing/large/2020/08/11/listing_bbf1ed41f065d08f49cb6d00220a835eedd138b40185890aee638ad2b189945e.jpg,204923
18,https://cdn.propzy.vn/listing/large/2021/04/14/listing_2f8430133ec2565db092d15d45c6bb163d5cb0bf17b189c9ede284d35c1f919e.jpg,353896
19,https://cdn.propzy.vn/listing/large/2020/09/07/listing_7a527af21ffded5db4d0fbebaec6b24c30aec84069773a6fdcec7fe28c3b116a.jpg,225425
20,https://cdn.propzy.vn/listing/large/2020/05/26/listing_11e9416d35fbbbffb7692e3ae432a36eb7d87278e641f412c9cbc0268c126e69.jpg,165468
21,https://cdn.propzy.vn/listing/large/2021/06/18/listing_63217819e0e7c97dd0fb95ad4c53a4b74abbf2ac5bb81d693453b2bc8c8e3d1a.jpg,382860
22,https://cdn.propzy.vn/listing/large/2021/04/26/listing_c2009b5a0079ae230ac7202e7a7b7d60cdd5ac71895cfbc8068be4c36c800981.jpg,348816
23,https://propzy.vn/propzy_assests/images/default_detail.jpg,364833
